"","name","province","city","area","address"
"1","中央戏剧学院","北京市","北京市","东城区","北京市东城区东棉花胡同39号"
"2","北京协和医学院","北京市","北京市","东城区","北京市东城区东单三条9号"
"3","北京市一七一中学","北京市","北京市","东城区","北京市东城区和平里北街8号"
"4","北京市第二中学","北京市","北京市","东城区","北京市东城区内务部街15号"
"5","北京市广渠门中学","北京市","北京市","东城区","北京市东城区白桥大街甲1号"
"6","北京景山学校","北京市","北京市","东城区","东城区灯市口大街53号"
"7","北京市第五十中学","北京市","北京市","东城区","北京市东城区夕照寺街13号"
"8","北京市第十一中学","北京市","北京市","东城区","北京市东城区金鱼池西街1号"
"9","北京和平里第四小学","北京市","北京市","东城区","和平里交林夹道"
"10","北京市第五中学","北京市","北京市","东城区","北京市东城区细管胡同13号"
"11","对外经济贸易大学","北京市","北京市","朝阳区","北京市朝阳区惠新东街10号"
"12","北京工业大学","北京市","北京市","朝阳区","北京市朝阳区平乐园100号"
"13","中国传媒大学","北京市","北京市","朝阳区","定福庄东街1号"
"14","北京化工大学(东校区)","北京市","北京市","朝阳区","北京市朝阳区北三环东路15号"
"15","中央美术学院","北京市","北京市","朝阳区","北京市朝阳区花家地南街8号"
"16","北京联合大学","北京市","北京市","朝阳区","北京市朝阳区北四环东路97号"
"17","北京中医药大学(西校区)","北京市","北京市","朝阳区","北京市朝阳区北三环东路11号"
"18","北京第二外国语学院","北京市","北京市","朝阳区","北京市朝阳区定福庄南里1号"
"19","北京服装学院","北京市","北京市","朝阳区","北京市朝阳区樱花园东街甲2号"
"20","中国音乐学院","北京市","北京市","朝阳区","北京市朝阳区安翔路1号"
"21","中央音乐学院","北京市","北京市","西城区","北京市西城区鲍家街43号"
"22","中国人民公安大学(木樨地校区)","北京市","北京市","西城区","北京市西城区木樨地南里1号"
"23","北京建筑大学","北京市","北京市","西城区","北京市西城区展览馆路1号"
"24","外交学院","北京市","北京市","西城区","北京市西城区展览馆路24号"
"25","北京市第八中学","北京市","北京市","西城区","北京市西城区太平桥大街学院小街2号北京八中内(近百盛)"
"26","北京三十五中(高中部)","北京市","北京市","西城区","北京市西城区赵登禹路8号"
"27","北京第二实验小学","北京市","北京市","西城区","北京市西城区新文化街111号"
"28","北京市西城区师范学校附属小学","北京市","北京市","西城区","六铺炕北小街3号"
"29","奋斗小学","北京市","北京市","西城区","北京市西城区二龙路闹市口大街月台胡同15号(近长椿街地铁)"
"30","北京市第三十九中学","北京市","北京市","西城区","北京市西城区西黄城根北街6号"
"31","首都医科大学","北京市","北京市","丰台区","北京市丰台区右安门外西头条10号(近菜户营桥)"
"32","首都经济贸易大学","北京市","北京市","丰台区","北京市丰台区花乡张家路口121号"
"33","中国戏曲学院","北京市","北京市","丰台区","北京市丰台区万泉寺400号"
"34","北京电子科技学院","北京市","北京市","丰台区","北京市丰台区富丰路7号"
"35","国家法官学院(新校区)","北京市","北京市","丰台区","北京市丰台区南四环西路111号"
"36","云岗中学","北京市","北京市","丰台区","北京市丰台区云岗北区东里1号"
"37","北京丰台二中","北京市","北京市","丰台区","北京市丰台区东安街头条3号"
"38","中央音乐学院附中","北京市","北京市","丰台区","芳群园一区2号"
"39","北方工业大学","北京市","北京市","石景山区","北京市石景山区晋元庄路5号"
"40","首钢工学院","北京市","北京市","石景山区","北京市石景山区晋元庄路6号"
"41","中国科学院大学(玉泉路校区)","北京市","北京市","石景山区","北京市石景山区玉泉路19号甲(近玉泉路地铁口)"
"42","北京市中杉学校","北京市","北京市","石景山区","石景山石门路342号"
"43","景山学校(远洋分校)","北京市","北京市","石景山区","北京市石景山区鲁谷东街22号"
"44","北京市第九中学","北京市","北京市","石景山区","北京市石景山区模式口大街甲16号"
"45","北京市京源学校","北京市","北京市","石景山区","京原路10号"
"46","国家检察官学院(香山校区)","北京市","北京市","石景山区","北京市石景山区香山南路111号"
"47","北京市高井中学","北京市","北京市","石景山区","北京市石景山区高井路26号"
"48","清华大学","北京市","北京市","海淀区","北京市海淀区双清路30号"
"49","北京大学","北京市","北京市","海淀区","北京市海淀区颐和园路5号"
"50","北京师范大学","北京市","北京市","海淀区","北京市海淀区新街口外大街19号"
"51","中国人民大学","北京市","北京市","海淀区","北京市海淀区中关村大街59号"
"52","北京航空航天大学","北京市","北京市","海淀区","北京市海淀区学院路37号"
"53","北京科技大学","北京市","北京市","海淀区","北京市海淀区学院路30号"
"54","北京理工大学","北京市","北京市","海淀区","北京市海淀区中关村南大街5号"
"55","北京林业大学","北京市","北京市","海淀区","北京市海淀区清华东路35号"
"56","北京邮电大学","北京市","北京市","海淀区","北京市海淀区西土城路10号"
"57","北京语言大学","北京市","北京市","海淀区","北京市海淀区学院路15号"
"58","大峪中学","北京市","北京市","门头沟区","北京市门头沟区滨河德露苑18号"
"59","大峪第二小学","北京市","北京市","门头沟区","新桥大街18号"
"60","北京八中(京西校区)","北京市","北京市","门头沟区","北京市门头沟区龙兴南二路附近"
"61","黑山小学","北京市","北京市","门头沟区","门头沟区黑山北小街3号"
"62","北京市门头沟区育园小学","北京市","北京市","门头沟区","新桥南大街21-1号"
"63","军庄中学","北京市","北京市","门头沟区","北京市门头沟区S210(军庄路)"
"64","大峪第一小学","北京市","北京市","门头沟区","北京市门头沟区上园北路9号"
"65","新桥路中学","北京市","北京市","门头沟区","北京市门头沟区新桥大街64号"
